Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
319,Ron Johnson,BAL,WR,22,16,4,0,0,0,0,0,0,0,,0,26,10,114,11.40,1,0,,1,,,17,27.4,30.4,22.4,,122,,JohnRo03
320,Terry Jones,BAL,TE,23,14,6,0,0,0,0,0,0,0,,0,21,11,106,9.64,1,0,,1,,,17,27.6,30.6,22.1,,49,,JoneTe00
321,Erron Kinney,TEN,TE,25,15,7,0,0,0,0,0,0,0,,0,19,13,173,13.31,0,0,,0,,,17,30.3,33.3,23.8,,46,,KinnEr00
322,Brandon Manumaleuna,STL,TE,22,16,10,0,0,0,0,0,0,0,,0,14,8,106,13.25,1,0,,1,,,17,24.6,27.6,20.6,,50,,ManuBr00
323,Nate Poole,ARI,WR,25,5,1,0,0,0,0,0,0,0,,0,22,13,108,8.31,1,0,,1,,,17,29.8,32.8,23.3,,124,,PoolNa01
324,Tim Rattay,SFO,QB,25,4,0,26,43,232,2,0,5,0,0.00,0,0,0,0,,0,2,,0,,,17,17.3,17.3,17.3,,52,,RattTi00
325,Dedric Ward,MIA,WR,28,16,1,0,0,0,0,0,0,0,,0,39,19,172,9.05,0,1,,0,,,17,36.2,39.2,26.7,,123,,WardDe00
326,Reggie Kelly,ATL,TE,25,16,16,0,0,0,0,0,0,0,,0,20,14,162,11.57,0,0,,0,,,16,30.2,33.2,23.2,,52,,KellRe00
327,Kris Mangum,CAR,TE,29,16,8,0,0,0,0,0,0,0,,0,29,16,159,9.94,0,0,,0,,,16,31.9,34.9,23.9,,53,,MangKr00
328,Larry Foster,DET,WR,26,13,0,0,0,0,0,0,0,0,,0,30,14,152,10.86,0,0,,0,,,15,29.2,32.2,22.2,,125,,FostLa00
329,David Givens,NWE,WR,22,12,0,0,0,0,0,0,0,0,,0,15,9,92,10.22,1,1,,1,,,15,24.2,24.2,19.7,,126,,GiveDa00
